1000W,,800W,,600W,,400W,,200W,
X,Y,X,Y,X,Y,X,Y,X,Y
6.75,10.436393577603967,6.75,8.244133388225563,6.75,6.391519143680503,6.75,4.2507204610951135,6.75,2.1582373313642123
7,10.436393577603967,7,8.244133388225563,7,6.391519143680503,7,4.2507204610951135,7,2.1690373270995433
7.25,10.436393577603967,7.25,8.244133388225563,7.25,6.391519143680503,7.25,4.2507204610951135,7.25,2.1543686646341094
7.5,10.436393577603967,7.5,8.244133388225563,7.5,6.391519143680504,7.5,4.250720461095112,7.5,2.178733906175051
7.75,10.436393577603967,7.75,8.244133388225563,7.75,6.391519143680503,7.75,4.2507204610951135,7.75,2.1534593112397253
8,10.436393577603424,8,8.244133388225563,8,6.391519143680503,8,4.250720461095112,8,2.1819437929303067
8.25,10.436393243620916,8.25,8.244133388225563,8.25,6.391519143680503,8.25,4.250720461095112,8.25,2.154526657191381
8.5,10.426209884651383,8.5,8.244133388225563,8.5,6.391519143680503,8.5,4.250720461095112,8.5,2.181742054735393
8.75,10.426101276548751,8.75,8.244133388225563,8.75,6.391519143680503,8.75,4.2507204610951135,8.75,2.1545713418398993
9,10.426101276245383,9,8.244133388225563,9,6.391519143680504,9,4.250720461100844,9,2.181852713809647
9.25,10.426101276245383,9.25,8.244133388225563,9.25,6.391519143680503,9.25,4.250718727210748,9.25,2.1547550021654214
9.5,10.426101276245383,9.5,8.244133388225563,9.5,6.391519143680503,9.5,4.26104504880626,9.5,2.1819533768921424
9.75,10.426101276245383,9.75,8.244133388225563,9.75,6.391519143680503,9.75,4.261012762534968,9.75,2.154427014861213
10,10.426101276245383,10,8.244133388225563,10,6.391519143680503,10,4.261012762453694,10,2.181104964444984
10.25,10.426101276245383,10.25,8.244133388225563,10.25,6.391519143680504,10.25,4.261012762453694,10.25,2.1548437560998437
10.5,10.426101276245383,10.5,8.244133388225563,10.5,6.391519143680503,10.5,4.261012762453696,10.5,2.1830427936123122
10.75,10.426101276111865,10.75,8.244133388225563,10.75,6.391519143680504,10.75,4.261012762453696,10.75,2.1736963723406593
11,10.426143475986606,11,8.244133388225563,11,6.391519143680504,11,4.261012762453694,11,2.1523694812323537
11.25,10.415808916368698,11.25,8.244133388225563,11.25,6.391519143680503,11.25,4.261012762453694,11.25,2.1649672765822796
11.5,10.415808974886545,11.5,8.244133388225563,11.5,6.391519143680503,11.5,4.261012762453696,11.5,2.152832678910258
11.75,10.415808974886799,11.75,8.24413338823393,11.75,6.391519143680504,11.75,4.261012762453694,11.75,2.170500998533976
12,10.415808974886799,12,8.244133646318144,12,6.391519143680503,12,4.261012762453694,12,2.1543530197389362
12.25,10.415808974886799,12.25,8.254421976271683,12.25,6.391519143680504,12.25,4.261012762453694,12.25,2.182764576811733
12.500000000000002,10.415808974886799,12.500000000000002,8.254425689587869,12.500000000000002,6.391519143680502,12.500000000000002,4.261012762453696,12.500000000000002,2.154974283202126
12.749999999999998,10.415808974886799,12.749999999999998,8.254425689584147,12.749999999999998,6.391519145058329,12.749999999999998,4.261012762453694,12.749999999999998,2.171693072620661
12.999999999999998,10.415808974886799,12.999999999999998,8.254425689584147,12.999999999999998,6.391473679890737,12.999999999999998,4.261012762453694,12.999999999999998,2.1496104685438535
13.249999999999998,10.415808974886799,13.249999999999998,8.254425689584147,13.249999999999998,6.401811422483584,13.249999999999998,4.261012762453694,13.249999999999998,2.171827252118627
13.5,10.415808974886799,13.5,8.254425689584146,13.5,6.401811445039012,13.5,4.261012762453696,13.5,2.1495560635469833
13.750000000000002,10.415808974886799,13.750000000000002,8.254425689584147,13.750000000000002,6.401811445039086,13.750000000000002,4.261012762453694,13.750000000000002,2.172188677848588
14.000000000000002,10.415808974886799,14.000000000000002,8.254425689584146,14.000000000000002,6.401811445039086,14.000000000000002,4.261012762453694,14.000000000000002,2.14923960404718
14.250000000000002,10.415808974886799,14.250000000000002,8.254425689584147,14.250000000000002,6.401811445039085,14.250000000000002,4.261012762453694,14.250000000000002,2.171445972356194
14.500000000000002,10.415808974886799,14.500000000000002,8.254425689584146,14.500000000000002,6.401811445039085,14.500000000000002,4.261012762453694,14.500000000000002,2.1479628717119272
14.750000000000002,10.415808974886799,14.750000000000002,8.254425689584146,14.750000000000002,6.401811445039086,14.750000000000002,4.261012762453694,14.750000000000002,2.157982648924577
15.000000000000002,10.415808974886799,15.000000000000002,8.254425689584146,15.000000000000002,6.401811445039085,15.000000000000002,4.261012762453694,15.000000000000002,2.1478532532677725
15.250000000000002,10.415808974890783,15.250000000000002,8.254425689584147,15.250000000000002,6.401811445039086,15.250000000000002,4.261012762453694,15.250000000000002,2.1655394122526115
15.500000000000002,10.415810560285886,15.500000000000002,8.254425689584146,15.500000000000002,6.401811445039086,15.500000000000002,4.261012762453696,15.500000000000002,2.1725462024968554
15.750000000000002,10.405515484926637,15.750000000000002,8.254425689584147,15.750000000000002,6.401811445039087,15.750000000000002,4.261012762453696,15.750000000000002,2.149675552356312
16,10.405516673532112,16,8.254425689584146,16,6.401811445039085,16,4.261012762453694,16,2.1703319251308724
16.25,10.405516673528215,16.25,8.254425689584146,16.25,6.401811445039086,16.25,4.261012762453694,16.25,2.1499226137819516
16.5,10.405516673528215,16.5,8.254425689584146,16.5,6.401811445039085,16.5,4.261012762453696,16.5,2.171742151517938
16.75,10.405516673528215,16.75,8.254425689584147,16.75,6.401811445039086,16.75,4.261012762453694,16.75,2.1495726184601214
17,10.405516673528215,17,8.254425689584146,17,6.401811445039086,17,4.261012762453694,17,2.171531332399944
17.25,10.405516673528215,17.25,8.254425689584146,17.25,6.401811445039086,17.25,4.261012762453694,17.25,2.1496344097575903
17.5,10.405516673528215,17.5,8.254425689584146,17.5,6.401811445039085,17.5,4.261012762453694,17.5,2.17170075945522
17.75,10.405516673528217,17.75,8.254425689584147,17.75,6.401811445039085,17.75,4.261012762453694,17.75,2.14953876464004
18,10.405516671082578,18,8.254425689584146,18,6.401811445039085,18,4.261012762453694,18,2.17173135623084
18.25,10.403347727115051,18.25,8.254425689584147,18.25,6.401811445039086,18.25,4.261012762453694,18.25,2.1487928491959956
18.5,10.395224362276851,18.5,8.254425689584146,18.5,6.401811445039086,18.5,4.261012762453696,18.5,2.1686715895102804
18.75,10.395224372169631,18.75,8.254425689584146,18.75,6.401811445039086,18.75,4.261012762453694,18.75,2.160650962223178
19,10.395224372169631,19,8.254425689584146,19,6.401811445039085,19,4.261012762453694,19,2.1631264799410825
19.25,10.395224372169631,19.25,8.254425689584147,19.25,6.401811445039085,19.25,4.261012762453694,19.25,2.1520324297044677
19.5,10.395224372169631,19.5,8.254425689584146,19.5,6.401811445039085,19.5,4.261012762453694,19.5,2.1486114355275863
19.75,10.395224372169631,19.75,8.254425689584146,19.75,6.401811445039086,19.75,4.261012762453694,19.75,2.158880700677223
20,10.395224372169631,20,8.254425689584146,20,6.401811445039085,20,4.261012762453694,20,2.151869778127679
20.25,10.395224372169631,20.25,8.254425689584146,20.25,6.401811445039086,20.25,4.261012762453694,20.25,2.1726734941423427
20.5,10.395224372169631,20.5,8.254425689584146,20.5,6.401811445039086,20.5,4.261012762453696,20.5,2.1496421687146565
20.75,10.395224372169631,20.75,8.254425689584147,20.75,6.401811445039085,20.75,4.261012762453694,20.75,2.171880172725123
21,10.395224372169631,21,8.254425689584146,21,6.401811445039085,21,4.261012762453694,21,2.1495244165154865
21.25,10.395224372169631,21.25,8.254425689584146,21.25,6.401811445039086,21.25,4.261012762453694,21.25,2.171638863872394
21.5,10.395224372169631,21.5,8.254425689584146,21.5,6.401811445039085,21.5,4.261012762453696,21.5,2.149720472272877
21.75,10.395224372169631,21.75,8.254425689584147,21.75,6.401811445039086,21.75,4.261012762453694,21.75,2.1716605774010187
22,10.395224372169631,22,8.254425689584147,22,6.401811445039087,22,4.261012762453694,22,2.149590714856288
22.25,10.395224372169631,22.25,8.254425689584146,22.25,6.401811445039085,22.25,4.261012762453694,22.25,2.1714843205044403
22.5,10.395224372169631,22.5,8.254425689584147,22.5,6.401811445039086,22.5,4.261012762453694,22.5,2.149689785982016
22.75,10.395224372169631,22.75,8.254425689044687,22.75,6.401811445039085,22.75,4.261012762453694,22.75,2.1715128047237453
23,10.395224372169631,23,8.25693652718718,23,6.401811445039086,23,4.261012762453694,23,2.155000783448708
23.25,10.395224372169631,23.25,8.264718001521086,23.25,6.401811445039086,23.25,4.261012762453696,23.25,2.154665394810902
23.5,10.395224372169631,23.5,8.264717990942739,23.5,6.401811445039087,23.5,4.261012762453696,23.5,2.1590136860439184
23.75,10.395224372169631,23.75,8.264717990942732,23.75,6.401811445039086,23.75,4.261012762453694,23.75,2.1493116193109003
24,10.395224372169631,24,8.264717990942732,24,6.401811445039086,24,4.261012762453694,24,2.1724441508028
24.25,10.395224372169631,24.25,8.264717990942732,24.25,6.401811445039085,24.25,4.261012762453696,24.25,2.157971108276568
24.5,10.395224372169631,24.5,8.264717990942732,24.5,6.401811445039086,24.5,4.261012762453694,24.5,2.1718340337388753
24.75,10.395224372169631,24.75,8.264717990942732,24.75,6.401811445039086,24.75,4.261012762453694,24.75,2.1497822410207235
25,10.395224372169631,25,8.264717990942732,25,6.401811445039086,25,4.261012762453694,25,2.1714265555464785
25.25,10.395224372169631,25.25,8.264717990942732,25.25,6.401811445039086,25.25,4.261012762453696,25.25,2.1495728889836307
25.5,10.395224372169631,25.5,8.264717990942732,25.5,6.401811445039085,25.5,4.261012762453694,25.5,2.171679289987022
25.75,10.395224369446199,25.75,8.264717990942732,25.75,6.401811445039085,25.75,4.261012762453694,25.75,2.1494833152126844
26,10.393381455364343,26,8.264717990942732,26,6.401811445039086,26,4.261012762453694,26,2.1717465297413945
26.25,10.384022463703525,26.25,8.264717990942732,26.25,6.401811445039086,26.25,4.261012762453696,26.25,2.149148723355644
26.5,10.374639763072874,26.5,8.264717990942732,26.5,6.401811445039086,26.5,4.261012762453694,26.5,2.172088912590752
26.75,10.36448490023912,26.75,8.264717991701616,26.75,6.401811445039086,26.75,4.261012762453694,26.75,2.149994223273998
27,10.342237007914328,27,8.265053162462596,27,6.401811445039085,27,4.261012762453694,27,2.167567851143046
27.249999999999996,10.33343727442997,27.249999999999996,8.254377014359498,27.249999999999996,6.401811445039085,27.249999999999996,4.261012762453694,27.249999999999996,2.160348691260019
27.5,10.313288489830194,27.5,8.244423021163655,27.5,6.401811445039609,27.5,4.26101276245512,27.5,2.1620347432673075
27.75,10.299830968265296,27.75,8.2310049503434,27.75,6.401812005836304,27.75,4.261014291488108,27.75,2.1540179650527644
28,10.271700622700802,28,8.211824630243864,28,6.412583508822134,28,4.240406812244332,28,2.147851511678631
28.25,10.255890489107237,28.25,8.196687162496637,28.25,6.401817993188018,28.25,4.240434631999637,28.25,2.1602979982251824
28.5,10.22053000706139,28.5,8.172112056370933,28.5,6.381120325524702,28.5,4.22025241397845,28.5,2.149246135726271
28.75,10.210368263030773,28.75,8.14276697523276,28.75,6.378439002090526,28.75,4.217620322557684,28.75,2.17148947430964
29,10.174740044701656,29,8.119346357100287,29,6.35031606903622,29,4.178752941425236,29,2.148421310173143
29.25,10.148270379217115,29.25,8.089662966874275,29.25,6.319237075333726,29.25,4.1578535594274015,29.25,2.17150687014329
29.5,10.107296022439176,29.5,8.054350465782706,29.5,6.28853228483103,29.5,4.127432192921402,29.5,2.132610834003245
29.749999999999996,10.086951482053014,29.749999999999996,8.010905358718215,29.749999999999996,6.25830876664258,29.749999999999996,4.114922574679861,29.749999999999996,2.1408417066821315
29.999999999999996,10.052494505348267,29.999999999999996,8.000782499383059,29.999999999999996,6.233879636642139,29.999999999999996,4.08934154936882,29.999999999999996,2.1173723959502055
30.249999999999996,10.024642511140545,30.249999999999996,7.955900271625548,30.249999999999996,6.190415356859333,30.249999999999996,4.0649207757225785,30.249999999999996,2.130489082755876
