1000W,,800W,,600W,,400W,,200W,
X,Y,X,Y,X,Y,X,Y,X,Y
22.26533883,11.4767284,22.45436245,9.348186387,22.22333358,7.196189364,22.34934933,5.044192342,22.3283467,2.945108701
22.70639394,11.4767284,22.89541755,9.348186387,22.66438869,7.196189364,22.79040443,5.044192342,22.76940181,2.947063285
23.14744904,11.4767284,23.33647266,9.348186387,23.10544379,7.196189364,23.23145954,5.044192342,23.21045691,2.946225606
23.58850414,11.4767284,23.77752776,9.348186387,23.5464989,7.196189364,23.67251464,5.044192342,23.65151202,2.946644446
24.02955925,11.4767284,24.21858286,9.348186387,23.987554,7.196189364,24.11356974,5.044192342,24.09256712,2.945806767
24.47061435,11.4767284,24.65963797,9.348186387,24.4286091,7.196189364,24.55462485,5.044192342,24.53362222,2.94371257
24.91166946,11.4767284,25.10069307,9.348186387,24.86966421,7.196189364,24.99567995,5.044192342,24.97467733,2.944550249
25.35272456,11.4767284,25.54174818,9.348186387,25.31071931,7.196189364,25.43673506,5.044192342,25.41573243,2.947063285
25.79377966,11.4767284,25.98280328,9.348186387,25.75177442,7.196189364,25.87779016,5.044192342,25.85678754,2.951670519
26.23483477,11.4767284,26.42385838,9.348186387,26.19282952,7.196189364,26.31884526,5.044192342,26.29784264,2.959070016
26.67588987,11.4767284,26.86491349,9.348186387,26.63388462,7.196189364,26.75990037,5.044192342,26.73889774,2.963956476
27.11694498,11.4767284,27.30596859,9.348186387,27.07493973,7.196189364,27.20095547,5.044192342,27.17995285,2.949017869
27.55800008,11.4767284,27.7470237,9.348186387,27.51599483,7.196189364,27.64201058,5.044192342,27.62100795,2.938100121
27.99905518,11.4767284,28.1880788,9.348186387,27.95704994,7.196189364,28.08306568,5.044192342,28.06206306,2.941199533
28.44011029,11.4767284,28.6291339,9.348186387,28.39810504,7.196189364,28.52412078,5.044192342,28.50311816,2.937848818
28.88116539,11.4767284,29.07018901,9.348186387,28.83916014,7.196189364,28.96517589,5.044192342,28.94417326,2.94329373
29.3222205,11.4767284,29.51124411,9.348186387,29.28021525,7.196189364,29.40623099,5.044192342,29.38522837,2.944969088
29.7632756,11.4767284,29.95229922,9.348186387,29.72127035,7.196189364,29.8472861,5.044192342,29.82628347,2.944969088
30.2043307,11.46863084,30.39335432,9.338692693,30.16232546,7.196189364,30.2883412,5.043913115,30.26733858,2.945248314
30.64538581,11.44657196,30.83440942,9.317750721,30.60338056,7.196189364,30.7293963,5.037490911,30.70839368,2.946225606
31.08644091,11.41111022,31.27546453,9.28619815,31.04443566,7.196189364,31.17045141,5.020178881,31.14944878,2.940641081
31.52749602,11.36587556,31.71651963,9.245710338,31.48549077,7.189208707,31.61150651,4.995606967,31.59050389,2.936731913
31.96855112,11.3089134,32.15757474,9.19517038,31.92654587,7.165753699,32.05256162,4.962937491,32.03155899,2.931007774
32.40960622,11.2441329,32.59862984,9.135136727,32.36760098,7.135038807,32.49361672,4.924125037,32.45554946,2.947473399
32.85066133,11.16594954,33.03968494,9.065609381,32.80865608,7.091758732,32.93467182,4.877773473,32.9136692,2.940780694
33.29171643,11.07883094,33.48074005,8.986029888,33.24971118,7.040381094,33.37572693,4.824999704,33.3547243,2.891916093
33.73277153,10.98138096,33.92179515,8.897235927,33.69076629,6.978392858,33.81678203,4.766641409,33.79577941,2.845564529
34.17382664,10.8713658,34.36285025,8.796435237,34.13182139,6.906631701,34.25783713,4.697393289,34.23683451,2.798654512
34.61488174,10.74906469,34.80390536,8.683348589,34.57287649,6.82314304,34.69889224,4.62200219,34.67788961,2.746159969
35.05593685,10.61503607,35.24496046,8.559651342,35.0139316,6.727647649,35.13994734,4.535721266,35.11894472,2.691431616
35.49699195,10.46704613,35.68601557,8.420875875,35.4549867,6.6198663,35.58100245,4.439667422,35.55999982,2.632514869
35.93804705,10.30481566,36.12707067,8.268976773,35.89604181,6.498961316,36.02205755,4.333282206,36.00105493,2.544837814
36.37910216,10.12583161,36.56812577,8.101161773,36.33709691,6.361581981,36.46311265,4.212377222,36.44211003,2.430086547
36.82015726,9.932048561,37.00918088,7.913242479,36.77815201,6.209403653,36.90416776,4.078907055,36.87361849,2.359660014
37.26121237,9.71983658,37.45023598,7.710524192,37.21920712,6.037679484,37.34522286,3.927287179,37.35026349,2.241084285
37.69176616,9.494487002,37.89129109,7.483233991,37.66026222,5.843617212,37.78627797,3.757517594,37.74164739,2.126975669
38.11181864,9.250261727,38.32184488,7.237822004,37.89129109,5.663013647,38.21333132,3.543511584,38.17430144,1.968815616
38.50036718,9.004639499,38.71039342,6.993717453,38.3132529,5.511959839,38.50036718,3.402341752,38.57037593,1.860001208
