Settlement Date,Settlement Period,Market Index Data Provider Id,Market Index Volume(MWh),Market Index Price(£/MWh)
01-Jan-2016,30,APXMIDP,961.3,38.6
01-Jan-2016,30,N2EXMIDP,0,0
01-Jan-2016,31,APXMIDP,856.35,43.8
01-Jan-2016,31,N2EXMIDP,0,0
01-Jan-2016,32,N2EXMIDP,0,0
01-Jan-2016,32,APXMIDP,960.05,43.19
01-Jan-2016,33,N2EXMIDP,0,0
01-Jan-2016,33,APXMIDP,823.8,44.32
01-Jan-2016,34,APXMIDP,793.6,46.34
01-Jan-2016,34,N2EXMIDP,0,0
01-Jan-2016,35,N2EXMIDP,0,0
01-Jan-2016,35,APXMIDP,716.6,50.3
01-Jan-2016,36,N2EXMIDP,0,0
01-Jan-2016,36,APXMIDP,883.4,44.95
01-Jan-2016,37,N2EXMIDP,0,0
01-Jan-2016,37,APXMIDP,1009.9,41.7
01-Jan-2016,38,APXMIDP,1080,40.18
01-Jan-2016,38,N2EXMIDP,0,0
01-Jan-2016,39,N2EXMIDP,0,0
01-Jan-2016,39,APXMIDP,964.5,32.37
01-Jan-2016,40,APXMIDP,817.35,31.25
01-Jan-2016,40,N2EXMIDP,0,0
01-Jan-2016,41,N2EXMIDP,0,0
01-Jan-2016,41,APXMIDP,773.5,30.86
01-Jan-2016,42,N2EXMIDP,0,0
01-Jan-2016,42,APXMIDP,757,30.92
01-Jan-2016,43,N2EXMIDP,0,0
01-Jan-2016,43,APXMIDP,808.95,31.61
01-Jan-2016,44,N2EXMIDP,0,0
01-Jan-2016,44,APXMIDP,872.05,30.69
01-Jan-2016,45,N2EXMIDP,0,0
01-Jan-2016,45,APXMIDP,1061.25,30.51
01-Jan-2016,46,N2EXMIDP,0,0
01-Jan-2016,46,APXMIDP,1145.7,30.1
01-Jan-2016,47,N2EXMIDP,0,0
01-Jan-2016,47,APXMIDP,508.25,29.84
01-Jan-2016,48,APXMIDP,349.9,28.68
01-Jan-2016,48,N2EXMIDP,0,0
02-Jan-2016,1,N2EXMIDP,0,0
02-Jan-2016,1,APXMIDP,484.6,28.9
02-Jan-2016,2,N2EXMIDP,0,0
02-Jan-2016,2,APXMIDP,435.1,28.89
02-Jan-2016,3,N2EXMIDP,0,0
02-Jan-2016,3,APXMIDP,471.7,28.03
02-Jan-2016,4,N2EXMIDP,0,0
02-Jan-2016,4,APXMIDP,414.75,21.96
02-Jan-2016,5,N2EXMIDP,0,0
02-Jan-2016,5,APXMIDP,506.45,21.51
02-Jan-2016,6,N2EXMIDP,0,0
02-Jan-2016,6,APXMIDP,497.5,21.73
02-Jan-2016,7,N2EXMIDP,0,0
02-Jan-2016,7,APXMIDP,509.3,20.27
02-Jan-2016,8,N2EXMIDP,0,0
02-Jan-2016,8,APXMIDP,483.9,17.91
02-Jan-2016,9,N2EXMIDP,0,0
02-Jan-2016,9,APXMIDP,470,17.26
02-Jan-2016,10,N2EXMIDP,0,0
02-Jan-2016,10,APXMIDP,414.85,16.88
02-Jan-2016,11,N2EXMIDP,0,0
02-Jan-2016,11,APXMIDP,496.6,21.9
02-Jan-2016,12,N2EXMIDP,0,0
02-Jan-2016,12,APXMIDP,424.5,21.5
02-Jan-2016,13,N2EXMIDP,0,0
02-Jan-2016,13,APXMIDP,350.4,20.55
02-Jan-2016,14,N2EXMIDP,0,0
02-Jan-2016,14,APXMIDP,553.95,22.56
02-Jan-2016,15,N2EXMIDP,0,0
02-Jan-2016,15,APXMIDP,918.7,28.23
02-Jan-2016,16,N2EXMIDP,0,0
02-Jan-2016,16,APXMIDP,643.55,28.72
02-Jan-2016,17,N2EXMIDP,0,0
02-Jan-2016,17,APXMIDP,540.35,30.15
02-Jan-2016,18,N2EXMIDP,0,0
02-Jan-2016,18,APXMIDP,751.5,34.96
02-Jan-2016,19,N2EXMIDP,0,0
02-Jan-2016,19,APXMIDP,496.5,35.01
02-Jan-2016,20,N2EXMIDP,0,0
02-Jan-2016,20,APXMIDP,657,33.89
02-Jan-2016,21,N2EXMIDP,0,0
02-Jan-2016,21,APXMIDP,671.5,34.17
02-Jan-2016,22,N2EXMIDP,0,0
02-Jan-2016,22,APXMIDP,731.55,34.25
02-Jan-2016,23,N2EXMIDP,0,0
02-Jan-2016,23,APXMIDP,610.5,35.84
02-Jan-2016,24,N2EXMIDP,0,0
02-Jan-2016,24,APXMIDP,510.85,34.47
02-Jan-2016,25,N2EXMIDP,0,0
02-Jan-2016,25,APXMIDP,415.3,35.42
02-Jan-2016,26,N2EXMIDP,0,0
02-Jan-2016,26,APXMIDP,516.1,34.62
02-Jan-2016,27,N2EXMIDP,0,0
02-Jan-2016,27,APXMIDP,504.1,33.72
02-Jan-2016,28,N2EXMIDP,0,0
02-Jan-2016,28,APXMIDP,564.8,33.36
02-Jan-2016,29,N2EXMIDP,0,0
02-Jan-2016,29,APXMIDP,652.35,33.03
02-Jan-2016,30,N2EXMIDP,0,0
02-Jan-2016,30,APXMIDP,662.4,33.02
02-Jan-2016,31,N2EXMIDP,0,0
02-Jan-2016,31,APXMIDP,1090.3,39.36
02-Jan-2016,32,N2EXMIDP,0,0
02-Jan-2016,32,APXMIDP,949.4,40.32
02-Jan-2016,33,N2EXMIDP,0,0
02-Jan-2016,33,APXMIDP,988.8,41.75
02-Jan-2016,34,N2EXMIDP,0,0
02-Jan-2016,34,APXMIDP,933.4,52.21
02-Jan-2016,35,N2EXMIDP,0,0
02-Jan-2016,35,APXMIDP,621.2,56.79
02-Jan-2016,36,N2EXMIDP,0,0
02-Jan-2016,36,APXMIDP,789.1,65.62
02-Jan-2016,37,N2EXMIDP,0,0
02-Jan-2016,37,APXMIDP,574.25,53.97
02-Jan-2016,38,N2EXMIDP,0,0
02-Jan-2016,38,APXMIDP,588.75,54.11
02-Jan-2016,39,N2EXMIDP,0,0
02-Jan-2016,39,APXMIDP,888.4,44.69
02-Jan-2016,40,N2EXMIDP,0,0
02-Jan-2016,40,APXMIDP,774.8,39.39
02-Jan-2016,41,N2EXMIDP,0,0
02-Jan-2016,41,APXMIDP,767.7,38.16
02-Jan-2016,42,N2EXMIDP,0,0
02-Jan-2016,42,APXMIDP,796.6,36.62
02-Jan-2016,43,N2EXMIDP,0,0
02-Jan-2016,43,APXMIDP,1017.75,33.55
02-Jan-2016,44,N2EXMIDP,0,0
02-Jan-2016,44,APXMIDP,1087.55,33.04
02-Jan-2016,45,N2EXMIDP,0,0
02-Jan-2016,45,APXMIDP,1146.6,32.9
02-Jan-2016,46,N2EXMIDP,0,0
02-Jan-2016,46,APXMIDP,1274.75,32.62
02-Jan-2016,47,N2EXMIDP,0,0
02-Jan-2016,47,APXMIDP,1414.55,39.3
02-Jan-2016,48,N2EXMIDP,0,0
02-Jan-2016,48,APXMIDP,1210.5,39.15
03-Jan-2016,1,APXMIDP,1068,39.17
03-Jan-2016,1,N2EXMIDP,0,0
03-Jan-2016,2,APXMIDP,1053.25,38.74
03-Jan-2016,2,N2EXMIDP,0,0
03-Jan-2016,3,APXMIDP,698,39.01
03-Jan-2016,3,N2EXMIDP,0,0
03-Jan-2016,4,N2EXMIDP,0,0
03-Jan-2016,4,APXMIDP,500.45,37.33
03-Jan-2016,5,N2EXMIDP,0,0
03-Jan-2016,5,APXMIDP,466.45,35.97
03-Jan-2016,6,APXMIDP,466.15,33.04
03-Jan-2016,6,N2EXMIDP,0,0
03-Jan-2016,7,APXMIDP,502.75,25.04
03-Jan-2016,7,N2EXMIDP,0,0
03-Jan-2016,8,APXMIDP,403.05,22.11
03-Jan-2016,8,N2EXMIDP,0,0
03-Jan-2016,9,APXMIDP,412.95,20.02
03-Jan-2016,9,N2EXMIDP,0,0
03-Jan-2016,10,APXMIDP,401,19.43
03-Jan-2016,10,N2EXMIDP,0,0
03-Jan-2016,11,APXMIDP,447.5,19.81
03-Jan-2016,11,N2EXMIDP,0,0
03-Jan-2016,12,APXMIDP,521.1,20.07
03-Jan-2016,12,N2EXMIDP,0,0
03-Jan-2016,13,APXMIDP,531.2,20.18
03-Jan-2016,13,N2EXMIDP,0,0
03-Jan-2016,14,APXMIDP,573.1,20.88
03-Jan-2016,14,N2EXMIDP,0,0
03-Jan-2016,15,APXMIDP,576,24.52
03-Jan-2016,15,N2EXMIDP,0,0
03-Jan-2016,16,N2EXMIDP,0,0
03-Jan-2016,16,APXMIDP,523.65,24.02
03-Jan-2016,17,APXMIDP,613.75,25.18
03-Jan-2016,17,N2EXMIDP,0,0
03-Jan-2016,18,N2EXMIDP,0,0
03-Jan-2016,18,APXMIDP,507.8,21.67
03-Jan-2016,19,APXMIDP,836.15,29.56
03-Jan-2016,19,N2EXMIDP,0,0
03-Jan-2016,20,N2EXMIDP,0,0
03-Jan-2016,20,APXMIDP,850.65,30.63
03-Jan-2016,21,N2EXMIDP,0,0
03-Jan-2016,21,APXMIDP,742.2,31.62
03-Jan-2016,22,APXMIDP,843.5,31.36
03-Jan-2016,22,N2EXMIDP,0,0
03-Jan-2016,23,N2EXMIDP,0,0
03-Jan-2016,23,APXMIDP,909.25,32.15
03-Jan-2016,24,N2EXMIDP,0,0
03-Jan-2016,24,APXMIDP,886.65,31.23
03-Jan-2016,25,N2EXMIDP,0,0
03-Jan-2016,25,APXMIDP,691.75,31.35
03-Jan-2016,26,APXMIDP,627.6,31.43
03-Jan-2016,26,N2EXMIDP,0,0
03-Jan-2016,27,APXMIDP,620.7,32.4
03-Jan-2016,27,N2EXMIDP,0,0
03-Jan-2016,28,APXMIDP,644.4,32.11
03-Jan-2016,28,N2EXMIDP,0,0
03-Jan-2016,29,APXMIDP,536.1,32.17
03-Jan-2016,29,N2EXMIDP,0,0
03-Jan-2016,30,APXMIDP,592.55,32.62
03-Jan-2016,30,N2EXMIDP,0,0
03-Jan-2016,31,APXMIDP,1092.85,36.72
03-Jan-2016,31,N2EXMIDP,0,0
03-Jan-2016,32,N2EXMIDP,0,0
03-Jan-2016,32,APXMIDP,1272.2,35.7
03-Jan-2016,33,N2EXMIDP,0,0
03-Jan-2016,33,APXMIDP,919.7,40.42
03-Jan-2016,34,APXMIDP,927.9,50.83
03-Jan-2016,34,N2EXMIDP,0,0
03-Jan-2016,35,N2EXMIDP,0,0
03-Jan-2016,35,APXMIDP,844.95,52.09
03-Jan-2016,36,N2EXMIDP,0,0
03-Jan-2016,36,APXMIDP,807.7,51.05
03-Jan-2016,37,N2EXMIDP,0,0
03-Jan-2016,37,APXMIDP,773.6,48.6
03-Jan-2016,38,APXMIDP,755.35,44.35
03-Jan-2016,38,N2EXMIDP,0,0
03-Jan-2016,39,N2EXMIDP,0,0
03-Jan-2016,39,APXMIDP,770.7,35.61
03-Jan-2016,40,APXMIDP,669.25,34.81
03-Jan-2016,40,N2EXMIDP,0,0
03-Jan-2016,41,N2EXMIDP,0,0
03-Jan-2016,41,APXMIDP,395.7,32.46
03-Jan-2016,42,N2EXMIDP,0,0
03-Jan-2016,42,APXMIDP,562.3,33.03
03-Jan-2016,43,N2EXMIDP,0,0
03-Jan-2016,43,APXMIDP,756.55,32.3
03-Jan-2016,44,N2EXMIDP,0,0
03-Jan-2016,44,APXMIDP,890.25,32.02
03-Jan-2016,45,N2EXMIDP,0,0
03-Jan-2016,45,APXMIDP,911.55,31.42
03-Jan-2016,46,N2EXMIDP,0,0
03-Jan-2016,46,APXMIDP,933.3,31.5
03-Jan-2016,47,N2EXMIDP,0,0
03-Jan-2016,47,APXMIDP,527,32.61
03-Jan-2016,48,APXMIDP,325.85,30.22
03-Jan-2016,48,N2EXMIDP,0,0
04-Jan-2016,1,N2EXMIDP,0,0
04-Jan-2016,1,APXMIDP,355.1,30.21
04-Jan-2016,2,N2EXMIDP,0,0
04-Jan-2016,2,APXMIDP,427,31.15
04-Jan-2016,3,N2EXMIDP,0,0
04-Jan-2016,3,APXMIDP,436,32.92
04-Jan-2016,4,N2EXMIDP,0,0
04-Jan-2016,4,APXMIDP,417.5,32.23
04-Jan-2016,5,N2EXMIDP,0,0
04-Jan-2016,5,APXMIDP,389,31.98
04-Jan-2016,6,N2EXMIDP,0,0
04-Jan-2016,6,APXMIDP,402.5,31.38
04-Jan-2016,7,N2EXMIDP,0,0
04-Jan-2016,7,APXMIDP,311.7,28.07
04-Jan-2016,8,N2EXMIDP,0,0
04-Jan-2016,8,APXMIDP,238.95,26.82
04-Jan-2016,9,N2EXMIDP,0,0
04-Jan-2016,9,APXMIDP,244.25,27.08
04-Jan-2016,10,N2EXMIDP,0,0
04-Jan-2016,10,APXMIDP,285.55,25.98
04-Jan-2016,11,N2EXMIDP,0,0
04-Jan-2016,11,APXMIDP,608.5,27.64
04-Jan-2016,12,N2EXMIDP,0,0
04-Jan-2016,12,APXMIDP,548.5,27.84
04-Jan-2016,13,N2EXMIDP,0,0
04-Jan-2016,13,APXMIDP,735.65,30.76
04-Jan-2016,14,N2EXMIDP,0,0
04-Jan-2016,14,APXMIDP,1426.25,33.44
04-Jan-2016,15,N2EXMIDP,0,0
04-Jan-2016,15,APXMIDP,1074.9,34.9
04-Jan-2016,16,N2EXMIDP,0,0
04-Jan-2016,16,APXMIDP,702.65,33.68
04-Jan-2016,17,N2EXMIDP,0,0
04-Jan-2016,17,APXMIDP,750.7,33.09
04-Jan-2016,18,N2EXMIDP,0,0
04-Jan-2016,18,APXMIDP,585.8,32.43
04-Jan-2016,19,N2EXMIDP,0,0
04-Jan-2016,19,APXMIDP,471.5,34.19
04-Jan-2016,20,N2EXMIDP,0,0
04-Jan-2016,20,APXMIDP,485.15,32.39
04-Jan-2016,21,N2EXMIDP,0,0
04-Jan-2016,21,APXMIDP,708.95,31.18
04-Jan-2016,22,N2EXMIDP,0,0
04-Jan-2016,22,APXMIDP,785.75,31.78
04-Jan-2016,23,N2EXMIDP,0,0
04-Jan-2016,23,APXMIDP,789,33.41
04-Jan-2016,24,N2EXMIDP,0,0
04-Jan-2016,24,APXMIDP,847.45,33.6
04-Jan-2016,25,N2EXMIDP,0,0
04-Jan-2016,25,APXMIDP,849.95,33.53
04-Jan-2016,26,N2EXMIDP,0,0
04-Jan-2016,26,APXMIDP,817.85,33.03
04-Jan-2016,27,N2EXMIDP,0,0
04-Jan-2016,27,APXMIDP,847.6,33.23
04-Jan-2016,28,N2EXMIDP,0,0
04-Jan-2016,28,APXMIDP,983.25,32.64
04-Jan-2016,29,N2EXMIDP,0,0
04-Jan-2016,29,APXMIDP,987.6,32.92
04-Jan-2016,30,N2EXMIDP,0,0
04-Jan-2016,30,APXMIDP,1060.95,32.59
04-Jan-2016,31,N2EXMIDP,0,0
04-Jan-2016,31,APXMIDP,1575.35,39.33
04-Jan-2016,32,N2EXMIDP,0,0
04-Jan-2016,32,APXMIDP,1464.4,39.86
04-Jan-2016,33,N2EXMIDP,0,0
04-Jan-2016,33,APXMIDP,1517.4,40
04-Jan-2016,34,N2EXMIDP,0,0
04-Jan-2016,34,APXMIDP,1567.95,43.11
04-Jan-2016,35,N2EXMIDP,0,0
04-Jan-2016,35,APXMIDP,1343.25,45.98
04-Jan-2016,36,N2EXMIDP,0,0
04-Jan-2016,36,APXMIDP,1595.6,43.25
04-Jan-2016,37,N2EXMIDP,0,0
04-Jan-2016,37,APXMIDP,1547.15,42.68
04-Jan-2016,38,N2EXMIDP,0,0
04-Jan-2016,38,APXMIDP,1870.3,41.17
04-Jan-2016,39,N2EXMIDP,0,0
04-Jan-2016,39,APXMIDP,1577.75,35.39
04-Jan-2016,40,N2EXMIDP,0,0
04-Jan-2016,40,APXMIDP,1412.8,35.95
04-Jan-2016,41,N2EXMIDP,0,0
04-Jan-2016,41,APXMIDP,1146.4,35.81
04-Jan-2016,42,N2EXMIDP,0,0
04-Jan-2016,42,APXMIDP,1360.8,36.36
04-Jan-2016,43,N2EXMIDP,0,0
04-Jan-2016,43,APXMIDP,1111.1,33.32
04-Jan-2016,44,N2EXMIDP,0,0
04-Jan-2016,44,APXMIDP,1043.05,31.76
04-Jan-2016,45,N2EXMIDP,0,0
04-Jan-2016,45,APXMIDP,1273.95,31.15
04-Jan-2016,46,N2EXMIDP,0,0
04-Jan-2016,46,APXMIDP,2080.3,30.53
04-Jan-2016,47,N2EXMIDP,0,0
04-Jan-2016,47,APXMIDP,489.55,31.02
04-Jan-2016,48,N2EXMIDP,0,0
04-Jan-2016,48,APXMIDP,458.65,28.4
05-Jan-2016,1,APXMIDP,479.8,28.85
05-Jan-2016,1,N2EXMIDP,0,0
05-Jan-2016,2,APXMIDP,390.7,30.31
05-Jan-2016,2,N2EXMIDP,0,0
05-Jan-2016,3,APXMIDP,534.5,35.21
05-Jan-2016,3,N2EXMIDP,0,0
05-Jan-2016,4,N2EXMIDP,0,0
05-Jan-2016,4,APXMIDP,584.1,32.85
05-Jan-2016,5,N2EXMIDP,0,0
05-Jan-2016,5,APXMIDP,545.9,31.69
05-Jan-2016,6,APXMIDP,578.5,32.06
05-Jan-2016,6,N2EXMIDP,0,0
05-Jan-2016,7,APXMIDP,372.4,30.98
05-Jan-2016,7,N2EXMIDP,0,0
05-Jan-2016,8,APXMIDP,347.5,30.32
05-Jan-2016,8,N2EXMIDP,0,0
05-Jan-2016,9,APXMIDP,324.5,29.44
05-Jan-2016,9,N2EXMIDP,0,0
05-Jan-2016,10,APXMIDP,294.9,29.99
05-Jan-2016,10,N2EXMIDP,0,0
05-Jan-2016,11,APXMIDP,441,33.4
05-Jan-2016,11,N2EXMIDP,0,0
05-Jan-2016,12,APXMIDP,181.9,28.93
05-Jan-2016,12,N2EXMIDP,0,0
05-Jan-2016,13,APXMIDP,649.15,29.08
05-Jan-2016,13,N2EXMIDP,0,0
05-Jan-2016,14,APXMIDP,1145.9,31.57
05-Jan-2016,14,N2EXMIDP,0,0
05-Jan-2016,15,APXMIDP,560.45,35.58
05-Jan-2016,15,N2EXMIDP,0,0
05-Jan-2016,16,N2EXMIDP,0,0
05-Jan-2016,16,APXMIDP,716.55,35.86
05-Jan-2016,17,APXMIDP,447.55,36.02
05-Jan-2016,17,N2EXMIDP,0,0
05-Jan-2016,18,N2EXMIDP,0,0
05-Jan-2016,18,APXMIDP,428.8,35.27
05-Jan-2016,19,APXMIDP,491.6,36.77
05-Jan-2016,19,N2EXMIDP,0,0
05-Jan-2016,20,N2EXMIDP,0,0
05-Jan-2016,20,APXMIDP,529.5,36.42
05-Jan-2016,21,N2EXMIDP,0,0
05-Jan-2016,21,APXMIDP,567.6,36.98
05-Jan-2016,22,APXMIDP,579.8,37.03
05-Jan-2016,22,N2EXMIDP,0,0
05-Jan-2016,23,N2EXMIDP,0,0
05-Jan-2016,23,APXMIDP,693.65,38.41
05-Jan-2016,24,N2EXMIDP,0,0
05-Jan-2016,24,APXMIDP,669.9,38.25
05-Jan-2016,25,N2EXMIDP,0,0
05-Jan-2016,25,APXMIDP,562.8,38.1
05-Jan-2016,26,APXMIDP,671,38.35
05-Jan-2016,26,N2EXMIDP,0,0
05-Jan-2016,27,APXMIDP,737.8,37.55
05-Jan-2016,27,N2EXMIDP,0,0
05-Jan-2016,28,APXMIDP,769.7,37.72
05-Jan-2016,28,N2EXMIDP,0,0
05-Jan-2016,29,APXMIDP,753.05,37.85
05-Jan-2016,29,N2EXMIDP,0,0
05-Jan-2016,30,APXMIDP,761.55,37.39
05-Jan-2016,30,N2EXMIDP,0,0
05-Jan-2016,31,APXMIDP,1518.6,38.85
05-Jan-2016,31,N2EXMIDP,0,0
05-Jan-2016,32,N2EXMIDP,0,0
05-Jan-2016,32,APXMIDP,1337.3,40.01
05-Jan-2016,33,N2EXMIDP,0,0
05-Jan-2016,33,APXMIDP,1145.15,43.65
05-Jan-2016,34,APXMIDP,1135.4,49.1
05-Jan-2016,34,N2EXMIDP,0,0
05-Jan-2016,35,N2EXMIDP,0,0
05-Jan-2016,35,APXMIDP,969.45,51.71
05-Jan-2016,36,N2EXMIDP,0,0
05-Jan-2016,36,APXMIDP,990.65,51.09
05-Jan-2016,37,N2EXMIDP,0,0
05-Jan-2016,37,APXMIDP,1025.45,51.56
05-Jan-2016,38,APXMIDP,987.05,49.12
05-Jan-2016,38,N2EXMIDP,0,0
05-Jan-2016,39,N2EXMIDP,0,0
05-Jan-2016,39,APXMIDP,1557.7,44.77
05-Jan-2016,40,APXMIDP,1291.85,42.13
05-Jan-2016,40,N2EXMIDP,0,0
05-Jan-2016,41,N2EXMIDP,0,0
05-Jan-2016,41,APXMIDP,1041.75,42.06
05-Jan-2016,42,N2EXMIDP,0,0
05-Jan-2016,42,APXMIDP,1151.55,40.44
05-Jan-2016,43,N2EXMIDP,0,0
05-Jan-2016,43,APXMIDP,1023.05,35.24
05-Jan-2016,44,N2EXMIDP,0,0
05-Jan-2016,44,APXMIDP,1308.15,35.94
05-Jan-2016,45,N2EXMIDP,0,0
05-Jan-2016,45,APXMIDP,1034.15,34.47
05-Jan-2016,46,N2EXMIDP,0,0
05-Jan-2016,46,APXMIDP,1138.7,32.36
05-Jan-2016,47,N2EXMIDP,0,0
05-Jan-2016,47,APXMIDP,600.3,32.48
05-Jan-2016,48,APXMIDP,461.55,31.05
05-Jan-2016,48,N2EXMIDP,0,0
06-Jan-2016,1,N2EXMIDP,0,0
06-Jan-2016,1,APXMIDP,549.8,30.52
06-Jan-2016,2,N2EXMIDP,0,0
06-Jan-2016,2,APXMIDP,866.65,35.43
06-Jan-2016,3,N2EXMIDP,0,0
06-Jan-2016,3,APXMIDP,388.2,33.77
06-Jan-2016,4,N2EXMIDP,0,0
06-Jan-2016,4,APXMIDP,349.25,32.73
06-Jan-2016,5,N2EXMIDP,0,0
06-Jan-2016,5,APXMIDP,384.2,31.53
06-Jan-2016,6,N2EXMIDP,0,0
06-Jan-2016,6,APXMIDP,382.95,32.51
06-Jan-2016,7,N2EXMIDP,0,0
06-Jan-2016,7,APXMIDP,544.9,32.68
06-Jan-2016,8,N2EXMIDP,0,0
06-Jan-2016,8,APXMIDP,497.2,32.24
06-Jan-2016,9,N2EXMIDP,0,0
06-Jan-2016,9,APXMIDP,514,32.04
06-Jan-2016,10,N2EXMIDP,0,0
06-Jan-2016,10,APXMIDP,482.8,30.97
06-Jan-2016,11,N2EXMIDP,0,0
06-Jan-2016,11,APXMIDP,636.6,31.98
06-Jan-2016,12,N2EXMIDP,0,0
06-Jan-2016,12,APXMIDP,486.15,32.1
06-Jan-2016,13,N2EXMIDP,0,0
06-Jan-2016,13,APXMIDP,692,32.85
06-Jan-2016,14,N2EXMIDP,0,0
06-Jan-2016,14,APXMIDP,945.4,34.76
06-Jan-2016,15,N2EXMIDP,0,0
06-Jan-2016,15,APXMIDP,461.9,37.66
06-Jan-2016,16,N2EXMIDP,0,0
06-Jan-2016,16,APXMIDP,381.65,38.61
06-Jan-2016,17,N2EXMIDP,0,0
06-Jan-2016,17,APXMIDP,350.25,38.11
06-Jan-2016,18,N2EXMIDP,0,0
06-Jan-2016,18,APXMIDP,423.8,38.58
06-Jan-2016,19,N2EXMIDP,0,0
06-Jan-2016,19,APXMIDP,399.65,42.41
06-Jan-2016,20,N2EXMIDP,0,0
06-Jan-2016,20,APXMIDP,546.1,43.29
06-Jan-2016,21,N2EXMIDP,0,0
06-Jan-2016,21,APXMIDP,622.35,45.51
06-Jan-2016,22,N2EXMIDP,0,0
06-Jan-2016,22,APXMIDP,659.05,45.54
06-Jan-2016,23,N2EXMIDP,0,0
06-Jan-2016,23,APXMIDP,888.35,41.37
06-Jan-2016,24,N2EXMIDP,0,0
06-Jan-2016,24,APXMIDP,910.2,40.52
06-Jan-2016,25,N2EXMIDP,0,0
06-Jan-2016,25,APXMIDP,965.15,39.42
06-Jan-2016,26,N2EXMIDP,0,0
06-Jan-2016,26,APXMIDP,1126.05,38.26
06-Jan-2016,27,N2EXMIDP,0,0
06-Jan-2016,27,APXMIDP,1020.9,37.34
06-Jan-2016,28,N2EXMIDP,0,0
06-Jan-2016,28,APXMIDP,1061.45,36.98
06-Jan-2016,29,N2EXMIDP,0,0
06-Jan-2016,29,APXMIDP,1157.45,36.36
06-Jan-2016,30,N2EXMIDP,0,0
06-Jan-2016,30,APXMIDP,1049.4,36.7
06-Jan-2016,31,N2EXMIDP,0,0
06-Jan-2016,31,APXMIDP,1138.4,41.18
06-Jan-2016,32,N2EXMIDP,0,0
06-Jan-2016,32,APXMIDP,1009.85,42.13
06-Jan-2016,33,N2EXMIDP,0,0
06-Jan-2016,33,APXMIDP,1003.45,43.25
06-Jan-2016,34,N2EXMIDP,0,0
06-Jan-2016,34,APXMIDP,1204.1,49.5
06-Jan-2016,35,N2EXMIDP,0,0
06-Jan-2016,35,APXMIDP,1146.95,51.98
06-Jan-2016,36,N2EXMIDP,0,0
06-Jan-2016,36,APXMIDP,1197.3,52.52
06-Jan-2016,37,N2EXMIDP,0,0
06-Jan-2016,37,APXMIDP,1315,48.98
